domain,problem,instance_id,n,budget,algo,seed,final_best,improve_rel,auc_progress,p10_progress,p50_progress,p90_progress,stagnation_frac,div_mean,div_decay,step_mean,step_decay,step_burst
cont,sphere,sphere_d5_i000,5,2500,PSO,0,1.4504966182849913e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0022301513566206116,0.9999999995515999,0.004289085203615438,0.99999999976685,0.0
cont,sphere,sphere_d5_i000,5,2500,PSO,1,0.28974640445499883,0.0,0.0,0.0,0.0,0.0,1.0,0.012294999846126378,0.9999999999186661,0.022961187916727875,0.9999999999564483,0.0
cont,sphere,sphere_d5_i000,5,2500,PSO,2,0.2896721153781409,0.0,0.0,0.0,0.0,0.0,1.0,0.0038526102709046848,0.9999999997404357,0.005633439401823817,0.9999999998224884,0.0
cont,sphere,sphere_d5_i000,5,2500,DE,0,0.0012083142763501678,0.0043445839159646955,0.7499999998283287,0.0,0.9999999997711049,0.9999999997711049,0.5,0.0048620860281708405,0.6424421263039125,0.01338782685802517,0.0,0.7436664609866642
cont,sphere,sphere_d5_i000,5,2500,DE,1,0.0022625901554637795,0.006302715779288527,0.7499999998820206,0.0,0.999999999842694,0.999999999842694,0.5,0.006197960248762595,0.4943345555343476,0.01831068988693044,0.0,0.7990708873506198
cont,sphere,sphere_d5_i000,5,2500,DE,2,0.0035436559017745246,0.00816593176330467,0.7499999999092266,0.0,0.9999999998789688,0.9999999998789688,0.5,0.006830521743420046,0.4731765919589812,0.01963677823073204,0.0,0.8058229463972424
cont,sphere,sphere_d5_i000,5,2500,ES,0,0.0030801048173187033,0.0,0.0,0.0,0.0,0.0,1.0,0.004187330855143835,0.9999999997611843,0.04319368040340281,0.9999999999768485,0.0
cont,sphere,sphere_d5_i000,5,2500,ES,1,0.01422748228096964,0.0,0.0,0.0,0.0,0.0,1.0,0.014758583844272123,0.9999999999322428,0.054651771155938195,0.9999999999817023,0.0
cont,sphere,sphere_d5_i000,5,2500,ES,2,0.07707280353081455,0.0,0.0,0.0,0.0,0.0,1.0,0.028571877345015026,0.9999999999650006,0.20642490130760388,0.9999999999951555,0.0
cont,sphere,sphere_d5_i000,5,2500,GWO,0,0.020888904077364955,0.0,0.0,0.0,0.0,0.0,1.0,0.023643040054552637,0.9999999999577043,0.08610793658539388,0.9999999999883866,0.0
cont,sphere,sphere_d5_i000,5,2500,GWO,1,0.03152768328656698,0.0,0.0,0.0,0.0,0.0,1.0,0.02368769681874044,0.999999999957784,0.07063753927547778,0.9999999999858431,0.0
cont,sphere,sphere_d5_i000,5,2500,GWO,2,0.027501663327474155,0.0,0.0,0.0,0.0,0.0,1.0,0.023922627788477528,0.9999999999581987,0.0848193127263156,0.9999999999882102,0.0
cont,sphere,sphere_d5_i000,5,2500,WOA,0,0.005185863320389379,0.0,0.0,0.0,0.0,0.0,1.0,0.031789523669042294,0.9999999999685432,0.10305820296186612,0.9999999999902967,0.0
cont,sphere,sphere_d5_i000,5,2500,WOA,1,0.0062456513274474715,0.0,0.0,0.0,0.0,0.0,1.0,0.04325939178066727,0.9999999999768837,0.101295753924372,0.9999999999901279,0.0
cont,sphere,sphere_d5_i000,5,2500,WOA,2,0.009190222970018837,0.0,0.0,0.0,0.0,0.0,1.0,0.03916192915169649,0.999999999974465,0.11253022466625909,0.9999999999911134,0.0
cont,sphere,sphere_d5_i000,5,2500,SA,0,0.4102030482144896,0.7806670632641785,0.9012707831861857,0.7845848485434332,0.9857433709748902,0.9999999999998007,0.8775510204081632,0.0,0.0,0.3650077593232226,0.0,0.3151437095739525
cont,sphere,sphere_d5_i000,5,2500,SA,1,0.2637170701865757,0.3628052581733238,0.7627880299814301,0.6991338321894734,0.6991338321894734,0.9999999999986102,0.9591836734693877,0.0,0.0,0.3468466010097185,0.0,0.40477037444225195
cont,sphere,sphere_d5_i000,5,2500,SA,2,0.6187078631764336,0.7339773719390056,0.9624924304363127,0.9999999999997761,0.9999999999997761,0.9999999999997761,0.9387755102040817,0.0,0.0,0.35411221432029405,0.0,0.3820669055967958
cont,sphere,sphere_d5_i000,5,2500,HC,0,0.8975856190108932,0.6700732437539223,0.9085274833379194,0.5321275807622873,0.9999999999997405,0.9999999999997405,0.8979591836734694,0.0,0.0,0.41633268658645833,0.0,0.35472013407896824
