algo,cluster,nearest_neighbor,nn_distance
BPSO,0,GA_BIN,0.3394629062219736
DE,2,PSO,0.41078042991271235
ES,0,WOA,0.9238183673265361
GA_BIN,0,BPSO,0.3394629062219736
GWO,2,PSO,0.6779013016146052
HC,1,SA,0.8191299879370902
PSO,2,DE,0.41078042991271235
SA,2,HC,0.8191299879370902
WOA,2,DE,0.6587112492737444
