domain,problem,instance_id,n,budget,algo,seed,final_best,auc_best,early_gain,stagnation_frac,div_mean,div_decay,step_mean,step_decay
cont,sphere,sphere_d5_i000,5,2500,PSO,0,2.403174647775049e-07,0.18213647633273466,0.0,0.0,0.1581261503360931,0.02126834314771426,0.36451006475797737,0.019296974099574798
cont,sphere,sphere_d5_i000,5,2500,PSO,1,0.2896707481196885,0.1730980742108096,0.0,0.0,0.15651299887893433,0.01795306335696985,0.3686357397081941,0.014529031012824996
cont,sphere,sphere_d5_i000,5,2500,PSO,2,0.2896702508743246,0.1783572219866707,0.0,0.0,0.11055136117490265,0.019562121441628888,0.3300579510104199,0.015867318342382714
cont,sphere,sphere_d5_i000,5,2500,DE,0,0.00033448087794770153,0.2139540227862337,0.0,0.0,0.20278494894006546,0.04028439004353465,0.8075532433638138,0.0401644741953468
cont,sphere,sphere_d5_i000,5,2500,DE,1,0.0022105423017755002,0.22762882484275773,0.0,0.0,0.25031991211644633,0.05755263809260797,0.9868658477518176,0.0612734260820094
cont,sphere,sphere_d5_i000,5,2500,DE,2,0.0013813104940861099,0.21383737946878312,0.0,0.0,0.31702812732387897,0.04775993755295865,1.2547179726581683,0.044310418304641434
cont,sphere,sphere_d5_i000,5,2500,ES,0,4.700418769035959,0.0,0.0,1.0,1.0579159331736239,0.9999999999990546,5.216102492580868,0.9999999999998083
cont,sphere,sphere_d5_i000,5,2500,ES,1,5.508431005046049,0.0,0.0,1.0,1.3080112836062177,0.9999999999992354,6.024360136214245,0.999999999999834
cont,sphere,sphere_d5_i000,5,2500,ES,2,3.854644735069475,0.0,0.0,1.0,1.1373423944705658,0.9999999999991207,5.431921512020068,0.9999999999998159
cont,sphere,sphere_d5_i000,5,2500,GWO,0,0.04771117550026614,0.4723397151379317,0.0,0.0,0.6414518588348632,0.2260378686747554,1.9781897512933064,0.2076399761233078
cont,sphere,sphere_d5_i000,5,2500,GWO,1,0.037226270757364475,0.9179790450335081,0.0,0.33333333333333337,0.6088513902349065,0.2173921080753155,1.9168403636346634,0.25593646070648773
cont,sphere,sphere_d5_i000,5,2500,GWO,2,0.031165989614890532,0.458272022755169,0.0,0.33333333333333337,0.5863874280370627,0.26196367839263623,1.8597434585366215,0.27661553346983137
cont,sphere,sphere_d5_i000,5,2500,WOA,0,0.005758444798225147,0.23193783841916027,0.0,0.0,1.0250184761389551,0.1460171473884653,3.3098790820311095,0.1672573065342206
cont,sphere,sphere_d5_i000,5,2500,WOA,1,0.00190150299214339,0.3383066026091359,0.0,0.0,1.397304369225562,0.12635650677558172,3.443077944011988,0.16582528665094357
cont,sphere,sphere_d5_i000,5,2500,WOA,2,0.007613653480684427,0.4400873378704705,0.0,0.0,1.1067824250237042,0.2060083388855074,2.9183742109021096,0.20447613047532834
cont,sphere,sphere_d5_i001,5,2500,PSO,0,1.6344791225535054e-06,0.18400933309705958,0.0,0.0,0.14262864622806481,0.09308724749308174,0.35757414278707467,0.037120616446458844
cont,sphere,sphere_d5_i001,5,2500,PSO,1,1.7263237620602915e-06,0.17059614062220604,0.0,0.0,0.12631827041943322,0.030077430979282258,0.3007034678240161,0.021545631676196362
cont,sphere,sphere_d5_i001,5,2500,PSO,2,3.3715812623400346e-06,0.1771638152260544,0.0,0.0,0.19482950483042832,0.03674085432408644,0.49967533537283043,0.021691384332151845
cont,sphere,sphere_d5_i001,5,2500,DE,0,0.0005450452140724874,0.20597182104595763,0.0,0.0,0.24709867073552966,0.03659549343125134,0.9050546877538785,0.03836311064752645
cont,sphere,sphere_d5_i001,5,2500,DE,1,0.00047351490215699935,0.2484932111086385,0.0,0.0,0.1852194846462112,0.0442804311914807,0.7641475228713843,0.04003694769590052
cont,sphere,sphere_d5_i001,5,2500,DE,2,0.0009609744776863513,0.19836074155105415,0.0,0.0,0.2390378487387003,0.03903899980157854,0.9189435697330269,0.03972745244060221
cont,sphere,sphere_d5_i001,5,2500,ES,0,4.2160829572001886,0.0,0.0,1.0,1.0903688044796032,0.9999999999990828,3.821784213934648,0.9999999999997383
cont,sphere,sphere_d5_i001,5,2500,ES,1,1.2582891847293751,0.0,0.0,1.0,0.8598064520107804,0.9999999999988369,5.112496357969533,0.9999999999998044
cont,sphere,sphere_d5_i001,5,2500,ES,2,3.5004428708582043,0.0,0.0,1.0,1.0157571979664508,0.9999999999990155,4.618840007633004,0.9999999999997835
cont,sphere,sphere_d5_i001,5,2500,GWO,0,0.022314666189213746,0.8318463346578744,0.0,0.33333333333333337,0.6620640709848205,0.2009197236492815,2.152019019896256,0.25316549002311756
cont,sphere,sphere_d5_i001,5,2500,GWO,1,0.0740305262650413,0.3897505424268241,0.0,0.0,0.6815075940183469,0.24537390207247886,2.1285798884936793,0.25333178396208755
cont,sphere,sphere_d5_i001,5,2500,GWO,2,0.0734343373614811,0.7466032855774023,0.0,0.33333333333333337,0.6434671862839971,0.2653812827555622,2.0479485819244214,0.28415156081095844
cont,sphere,sphere_d5_i001,5,2500,WOA,0,0.0011500797144863523,0.2189779158962696,0.0,0.0,1.276371624024501,0.16965495771186515,3.373207650756952,0.17817163541736922
cont,sphere,sphere_d5_i001,5,2500,WOA,1,0.008576453218442599,0.20575220500970992,0.0,0.0,1.142410067556063,0.18082761741737713,3.3697756737263296,0.23647290413290958
cont,sphere,sphere_d5_i001,5,2500,WOA,2,0.0009216527584984492,0.1809459481641674,0.0,0.0,1.2822339146284258,0.17197345105696446,3.1518080717258314,0.19611977370110348
cont,sphere,sphere_d5_i002,5,2500,PSO,0,3.1592636421000435e-06,0.17000322185088304,0.0,0.0,0.2727961693905887,0.025321210426490756,0.7294833846245901,0.01868522700642777
cont,sphere,sphere_d5_i002,5,2500,PSO,1,1.8088843493400639e-06,0.17314003460517055,0.0,0.0,0.26644927929097284,0.029099563420616367,0.5828555278766985,0.02460961073049881
cont,sphere,sphere_d5_i002,5,2500,PSO,2,3.1095598492707684e-07,0.16805783344653885,0.0,0.0,0.2653560728954018,0.022112475340003133,0.667713018107242,0.014688578008886309
cont,sphere,sphere_d5_i002,5,2500,DE,0,0.00363449752645416,0.22156289125224277,0.0,0.0,0.4566532419588908,0.050936363900588234,1.891365704666722,0.046906724225711086
cont,sphere,sphere_d5_i002,5,2500,DE,1,0.0005190655012501018,0.18865617399445245,0.0,0.0,0.29643710075810137,0.02394631344056651,1.1830354662252622,0.025060164870118043
cont,sphere,sphere_d5_i002,5,2500,DE,2,0.0026502843499710614,0.18218258912365462,0.0,0.0,0.3259106266934388,0.043365029276995336,1.2533891976888638,0.044196332649916036
cont,sphere,sphere_d5_i002,5,2500,ES,0,8.12202232174435,0.0,0.0,1.0,1.579894212650417,0.999999999999367,5.446000374800973,0.9999999999998164
cont,sphere,sphere_d5_i002,5,2500,ES,1,13.503897983055033,0.0,0.0,1.0,1.8111766248624648,0.9999999999994478,5.4016428312154945,0.9999999999998148
cont,sphere,sphere_d5_i002,5,2500,ES,2,8.530721861504242,0.0,0.0,1.0,1.798182011284131,0.9999999999994438,5.379055239325484,0.999999999999814
cont,sphere,sphere_d5_i002,5,2500,GWO,0,0.0029939995977601185,0.31370303880348593,0.0,0.0,0.22834642104753977,0.2172436665733535,0.8241542652303442,0.2864723634445889
cont,sphere,sphere_d5_i002,5,2500,GWO,1,0.011838876801718936,0.25419783210495456,0.0,0.0,0.21589145251809547,0.20618658735282425,0.8232211149965762,0.2145507323646294
cont,sphere,sphere_d5_i002,5,2500,GWO,2,0.0075517633938292274,0.2973009842580688,0.0,0.33333333333333337,0.222302342697362,0.218642700719331,0.8560962726926391,0.21129611515935118
cont,sphere,sphere_d5_i002,5,2500,WOA,0,0.0008433087968517723,0.24527594622080764,0.0,0.0,1.1289202004275203,0.06561730604320956,3.0013721370817135,0.082914165193242
cont,sphere,sphere_d5_i002,5,2500,WOA,1,0.001287509259985541,0.22368717550241038,0.0,0.0,1.2162406096283667,0.04537898426020085,3.266926641504425,0.046785656747238336
cont,sphere,sphere_d5_i002,5,2500,WOA,2,0.00422363192115748,0.25723915968550615,0.0,0.0,0.8501630465781875,0.058756920660795416,2.6011264868040698,0.08344611741688045
cont,sphere,sphere_d5_i003,5,2500,PSO,0,1.4572941728929464e-06,0.17335869341647503,0.0,0.0,0.1965083913931143,0.023174436281683596,0.4497528415142531,0.013419025374800836
cont,sphere,sphere_d5_i003,5,2500,PSO,1,8.931527586578849e-06,0.1685271671725351,0.0,0.0,0.25847813154208876,0.0797289019731976,0.5043432004980124,0.046896982997232384
cont,sphere,sphere_d5_i003,5,2500,PSO,2,3.898536516411825e-06,0.17658353155308312,0.0,0.0,0.2339961359993882,0.03455883051840608,0.5645563264606925,0.03395435278363649
cont,sphere,sphere_d5_i003,5,2500,DE,0,0.002834479835896712,0.44828231438740174,0.0,0.0,0.3807718405044379,0.03933829351874858,1.4824260361592863,0.03652819232518169
cont,sphere,sphere_d5_i003,5,2500,DE,1,0.0046163723317934734,0.23089565547156438,0.0,0.0,0.38524708828218934,0.04709670105837071,1.5395482426835572,0.04536396433202515
cont,sphere,sphere_d5_i003,5,2500,DE,2,0.0009774895840615493,0.21304433031992767,0.0,0.0,0.2578920977130057,0.04745512421301789,1.0671349518669007,0.03895911549154557
cont,sphere,sphere_d5_i003,5,2500,ES,0,6.988695028948249,0.0,0.0,1.0,1.5645673534351203,0.9999999999993607,5.693928327724582,0.9999999999998244
cont,sphere,sphere_d5_i003,5,2500,ES,1,6.029070925914427,0.0,0.0,1.0,1.3896484662001232,0.9999999999992804,5.424341008499872,0.9999999999998156
cont,sphere,sphere_d5_i003,5,2500,ES,2,1.9130510619786527,0.0,0.0,1.0,1.2415276569675466,0.9999999999991944,5.580740664628104,0.9999999999998208
cont,sphere,sphere_d5_i003,5,2500,GWO,0,0.007355348064656409,0.4004506306520588,0.0,0.0,0.4817958461217806,0.24787014526906884,1.5512001848601094,0.25300329515124614
