instance_id,domain,problem,budget,target,threshold,q,calib_reps
cont_rastrigin_003,cont,rastrigin,300,hard,-88.78446136077811,0.9,10
cont_rastrigin_003,cont,rastrigin,800,easy,-88.09967317235024,0.5,10
cont_rastrigin_003,cont,rastrigin,800,med,-86.53666304720532,0.75,10
cont_rastrigin_003,cont,rastrigin,800,hard,-82.62949129979383,0.9,10
cont_sphere_004,cont,sphere,300,easy,-25.271873626454806,0.5,10
cont_sphere_004,cont,sphere,300,med,-23.95953791049993,0.75,10
cont_sphere_004,cont,sphere,300,hard,-15.596649662167573,0.9,10
cont_sphere_004,cont,sphere,800,easy,-19.6674114741069,0.5,10
cont_sphere_004,cont,sphere,800,med,-14.19130009468963,0.75,10
cont_sphere_004,cont,sphere,800,hard,-10.766006796922845,0.9,10
cont_rastrigin_005,cont,rastrigin,300,easy,-101.81304030249385,0.5,10
cont_rastrigin_005,cont,rastrigin,300,med,-97.76669713284097,0.75,10
cont_rastrigin_005,cont,rastrigin,300,hard,-93.28153392999802,0.9,10
cont_rastrigin_005,cont,rastrigin,800,easy,-90.12066811676982,0.5,10
cont_rastrigin_005,cont,rastrigin,800,med,-86.67370734051411,0.75,10
cont_rastrigin_005,cont,rastrigin,800,hard,-85.47421300639894,0.9,10
cont_sphere_006,cont,sphere,300,easy,-27.60285616773777,0.5,10
cont_sphere_006,cont,sphere,300,med,-19.938970673525294,0.75,10
cont_sphere_006,cont,sphere,300,hard,-17.37194872073161,0.9,10
cont_sphere_006,cont,sphere,800,easy,-22.989246525684802,0.5,10
cont_sphere_006,cont,sphere,800,med,-20.15529097651736,0.75,10
cont_sphere_006,cont,sphere,800,hard,-18.850209260839478,0.9,10
cont_rastrigin_007,cont,rastrigin,300,easy,-96.79261220334269,0.5,10
cont_rastrigin_007,cont,rastrigin,300,med,-89.90126746266174,0.75,10
cont_rastrigin_007,cont,rastrigin,300,hard,-89.09160804813334,0.9,10
cont_rastrigin_007,cont,rastrigin,800,easy,-88.15480882478184,0.5,10
cont_rastrigin_007,cont,rastrigin,800,med,-78.23072946127512,0.75,10
cont_rastrigin_007,cont,rastrigin,800,hard,-72.09125177681307,0.9,10
cont_sphere_008,cont,sphere,300,easy,-24.36821475592923,0.5,10
cont_sphere_008,cont,sphere,300,med,-19.347735194517448,0.75,10
cont_sphere_008,cont,sphere,300,hard,-14.574984479669224,0.9,10
cont_sphere_008,cont,sphere,800,easy,-19.927934835959277,0.5,10
cont_sphere_008,cont,sphere,800,med,-17.9253248426211,0.75,10
cont_sphere_008,cont,sphere,800,hard,-16.01719633086359,0.9,10
cont_rastrigin_009,cont,rastrigin,300,easy,-94.35460709037238,0.5,10
cont_rastrigin_009,cont,rastrigin,300,med,-91.25950462664115,0.75,10
cont_rastrigin_009,cont,rastrigin,300,hard,-88.75469285374612,0.9,10
cont_rastrigin_009,cont,rastrigin,800,easy,-88.55138275169026,0.5,10
cont_rastrigin_009,cont,rastrigin,800,med,-83.79390193814059,0.75,10
cont_rastrigin_009,cont,rastrigin,800,hard,-78.59713746894123,0.9,10
cont_sphere_010,cont,sphere,300,easy,-28.11547676221614,0.5,10
cont_sphere_010,cont,sphere,300,med,-26.764824377639506,0.75,10
cont_sphere_010,cont,sphere,300,hard,-22.611917978693864,0.9,10
cont_sphere_010,cont,sphere,800,easy,-17.72548398911391,0.5,10
cont_sphere_010,cont,sphere,800,med,-16.89409527079178,0.75,10
cont_sphere_010,cont,sphere,800,hard,-15.862802137193032,0.9,10
cont_rastrigin_011,cont,rastrigin,300,easy,-100.77793285990379,0.5,10
cont_rastrigin_011,cont,rastrigin,300,med,-84.80717923286602,0.75,10
cont_rastrigin_011,cont,rastrigin,300,hard,-79.65771305000654,0.9,10
cont_rastrigin_011,cont,rastrigin,800,easy,-89.65673386406026,0.5,10
cont_rastrigin_011,cont,rastrigin,800,med,-74.82768135847198,0.75,10
cont_rastrigin_011,cont,rastrigin,800,hard,-72.91809740696964,0.9,10
