instance_id,problem,domain,budget,target,algo_variant,algo_base,rep,best_score,threshold,success
bin_onemax_000,onemax,bin,300,med,TABU(tenure=7),TABU,2,55.0,53.75,1
bin_onemax_000,onemax,bin,300,med,TABU(tenure=12),TABU,0,53.0,53.75,0
bin_onemax_000,onemax,bin,300,med,TABU(tenure=12),TABU,1,57.0,53.75,1
bin_onemax_000,onemax,bin,300,med,TABU(tenure=12),TABU,2,50.0,53.75,0
bin_onemax_000,onemax,bin,300,med,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,59.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"GA(pop=50,pc=0.9,pm=0.02)",GA,1,58.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"GA(pop=50,pc=0.9,pm=0.02)",GA,2,61.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,57.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"GA(pop=50,pc=0.9,pm=0.05)",GA,1,62.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"GA(pop=50,pc=0.9,pm=0.05)",GA,2,60.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,56.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"GA(pop=100,pc=0.9,pm=0.02)",GA,1,52.0,53.75,0
bin_onemax_000,onemax,bin,300,med,"GA(pop=100,pc=0.9,pm=0.02)",GA,2,60.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"UMDA(pop=50,elite=0.2)",UMDA,0,74.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"UMDA(pop=50,elite=0.2)",UMDA,1,70.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"UMDA(pop=50,elite=0.2)",UMDA,2,72.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"UMDA(pop=100,elite=0.2)",UMDA,0,60.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"UMDA(pop=100,elite=0.2)",UMDA,1,63.0,53.75,1
bin_onemax_000,onemax,bin,300,med,"UMDA(pop=100,elite=0.2)",UMDA,2,67.0,53.75,1
bin_onemax_000,onemax,bin,300,hard,RS_BIN,RS_BIN,0,54.0,55.1,0
bin_onemax_000,onemax,bin,300,hard,RS_BIN,RS_BIN,1,55.0,55.1,0
bin_onemax_000,onemax,bin,300,hard,RS_BIN,RS_BIN,2,52.0,55.1,0
bin_onemax_000,onemax,bin,300,hard,HC(flips=1),HC,0,78.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,HC(flips=1),HC,1,77.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,HC(flips=1),HC,2,79.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,HC(flips=2),HC,0,73.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,HC(flips=2),HC,1,68.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,HC(flips=2),HC,2,77.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,78.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=1.0,alpha=0.995,flips=1)",SA,1,77.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=1.0,alpha=0.995,flips=1)",SA,2,75.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,78.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=2.0,alpha=0.99,flips=1)",SA,1,78.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=2.0,alpha=0.99,flips=1)",SA,2,76.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,72.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=2.0,alpha=0.995,flips=2)",SA,1,68.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"SA(T0=2.0,alpha=0.995,flips=2)",SA,2,64.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,TABU(tenure=7),TABU,0,61.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,TABU(tenure=7),TABU,1,63.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,TABU(tenure=7),TABU,2,58.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,TABU(tenure=12),TABU,0,61.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,TABU(tenure=12),TABU,1,59.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,TABU(tenure=12),TABU,2,61.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,57.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"GA(pop=50,pc=0.9,pm=0.02)",GA,1,59.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"GA(pop=50,pc=0.9,pm=0.02)",GA,2,56.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,57.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"GA(pop=50,pc=0.9,pm=0.05)",GA,1,60.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"GA(pop=50,pc=0.9,pm=0.05)",GA,2,56.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,53.0,55.1,0
bin_onemax_000,onemax,bin,300,hard,"GA(pop=100,pc=0.9,pm=0.02)",GA,1,55.0,55.1,0
bin_onemax_000,onemax,bin,300,hard,"GA(pop=100,pc=0.9,pm=0.02)",GA,2,55.0,55.1,0
bin_onemax_000,onemax,bin,300,hard,"UMDA(pop=50,elite=0.2)",UMDA,0,71.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"UMDA(pop=50,elite=0.2)",UMDA,1,72.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"UMDA(pop=50,elite=0.2)",UMDA,2,73.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"UMDA(pop=100,elite=0.2)",UMDA,0,62.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"UMDA(pop=100,elite=0.2)",UMDA,1,62.0,55.1,1
bin_onemax_000,onemax,bin,300,hard,"UMDA(pop=100,elite=0.2)",UMDA,2,60.0,55.1,1
bin_onemax_000,onemax,bin,800,easy,RS_BIN,RS_BIN,0,54.0,54.5,0
bin_onemax_000,onemax,bin,800,easy,RS_BIN,RS_BIN,1,52.0,54.5,0
bin_onemax_000,onemax,bin,800,easy,RS_BIN,RS_BIN,2,55.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,HC(flips=1),HC,0,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,HC(flips=1),HC,1,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,HC(flips=1),HC,2,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,HC(flips=2),HC,0,78.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,HC(flips=2),HC,1,77.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,HC(flips=2),HC,2,74.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=1.0,alpha=0.995,flips=1)",SA,1,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=1.0,alpha=0.995,flips=1)",SA,2,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=2.0,alpha=0.99,flips=1)",SA,1,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=2.0,alpha=0.99,flips=1)",SA,2,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,75.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=2.0,alpha=0.995,flips=2)",SA,1,73.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"SA(T0=2.0,alpha=0.995,flips=2)",SA,2,76.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,TABU(tenure=7),TABU,0,73.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,TABU(tenure=7),TABU,1,77.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,TABU(tenure=7),TABU,2,76.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,TABU(tenure=12),TABU,0,74.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,TABU(tenure=12),TABU,1,79.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,TABU(tenure=12),TABU,2,78.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,67.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=50,pc=0.9,pm=0.02)",GA,1,69.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=50,pc=0.9,pm=0.02)",GA,2,67.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,66.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=50,pc=0.9,pm=0.05)",GA,1,66.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=50,pc=0.9,pm=0.05)",GA,2,65.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,60.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=100,pc=0.9,pm=0.02)",GA,1,60.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"GA(pop=100,pc=0.9,pm=0.02)",GA,2,62.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"UMDA(pop=50,elite=0.2)",UMDA,0,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"UMDA(pop=50,elite=0.2)",UMDA,1,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"UMDA(pop=50,elite=0.2)",UMDA,2,79.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"UMDA(pop=100,elite=0.2)",UMDA,0,79.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"UMDA(pop=100,elite=0.2)",UMDA,1,80.0,54.5,1
bin_onemax_000,onemax,bin,800,easy,"UMDA(pop=100,elite=0.2)",UMDA,2,80.0,54.5,1
bin_onemax_000,onemax,bin,800,med,RS_BIN,RS_BIN,0,53.0,55.75,0
bin_onemax_000,onemax,bin,800,med,RS_BIN,RS_BIN,1,55.0,55.75,0
bin_onemax_000,onemax,bin,800,med,RS_BIN,RS_BIN,2,55.0,55.75,0
bin_onemax_000,onemax,bin,800,med,HC(flips=1),HC,0,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,HC(flips=1),HC,1,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,HC(flips=1),HC,2,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,HC(flips=2),HC,0,77.0,55.75,1
bin_onemax_000,onemax,bin,800,med,HC(flips=2),HC,1,73.0,55.75,1
bin_onemax_000,onemax,bin,800,med,HC(flips=2),HC,2,78.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=1.0,alpha=0.995,flips=1)",SA,1,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=1.0,alpha=0.995,flips=1)",SA,2,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=2.0,alpha=0.99,flips=1)",SA,1,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=2.0,alpha=0.99,flips=1)",SA,2,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,75.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=2.0,alpha=0.995,flips=2)",SA,1,75.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"SA(T0=2.0,alpha=0.995,flips=2)",SA,2,77.0,55.75,1
bin_onemax_000,onemax,bin,800,med,TABU(tenure=7),TABU,0,78.0,55.75,1
bin_onemax_000,onemax,bin,800,med,TABU(tenure=7),TABU,1,77.0,55.75,1
bin_onemax_000,onemax,bin,800,med,TABU(tenure=7),TABU,2,78.0,55.75,1
bin_onemax_000,onemax,bin,800,med,TABU(tenure=12),TABU,0,79.0,55.75,1
bin_onemax_000,onemax,bin,800,med,TABU(tenure=12),TABU,1,77.0,55.75,1
bin_onemax_000,onemax,bin,800,med,TABU(tenure=12),TABU,2,75.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,68.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=50,pc=0.9,pm=0.02)",GA,1,67.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=50,pc=0.9,pm=0.02)",GA,2,68.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,67.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=50,pc=0.9,pm=0.05)",GA,1,68.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=50,pc=0.9,pm=0.05)",GA,2,66.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,61.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=100,pc=0.9,pm=0.02)",GA,1,65.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"GA(pop=100,pc=0.9,pm=0.02)",GA,2,65.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"UMDA(pop=50,elite=0.2)",UMDA,0,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"UMDA(pop=50,elite=0.2)",UMDA,1,79.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"UMDA(pop=50,elite=0.2)",UMDA,2,80.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"UMDA(pop=100,elite=0.2)",UMDA,0,79.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"UMDA(pop=100,elite=0.2)",UMDA,1,79.0,55.75,1
bin_onemax_000,onemax,bin,800,med,"UMDA(pop=100,elite=0.2)",UMDA,2,79.0,55.75,1
bin_onemax_000,onemax,bin,800,hard,RS_BIN,RS_BIN,0,54.0,57.0,0
bin_onemax_000,onemax,bin,800,hard,RS_BIN,RS_BIN,1,54.0,57.0,0
bin_onemax_000,onemax,bin,800,hard,RS_BIN,RS_BIN,2,58.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,HC(flips=1),HC,0,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,HC(flips=1),HC,1,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,HC(flips=1),HC,2,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,HC(flips=2),HC,0,78.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,HC(flips=2),HC,1,76.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,HC(flips=2),HC,2,74.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=1.0,alpha=0.995,flips=1)",SA,1,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=1.0,alpha=0.995,flips=1)",SA,2,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=2.0,alpha=0.99,flips=1)",SA,1,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=2.0,alpha=0.99,flips=1)",SA,2,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,73.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=2.0,alpha=0.995,flips=2)",SA,1,76.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"SA(T0=2.0,alpha=0.995,flips=2)",SA,2,75.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,TABU(tenure=7),TABU,0,76.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,TABU(tenure=7),TABU,1,78.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,TABU(tenure=7),TABU,2,77.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,TABU(tenure=12),TABU,0,77.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,TABU(tenure=12),TABU,1,76.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,TABU(tenure=12),TABU,2,76.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,72.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=50,pc=0.9,pm=0.02)",GA,1,68.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=50,pc=0.9,pm=0.02)",GA,2,70.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,65.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=50,pc=0.9,pm=0.05)",GA,1,67.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=50,pc=0.9,pm=0.05)",GA,2,65.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,62.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=100,pc=0.9,pm=0.02)",GA,1,65.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"GA(pop=100,pc=0.9,pm=0.02)",GA,2,63.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"UMDA(pop=50,elite=0.2)",UMDA,0,79.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"UMDA(pop=50,elite=0.2)",UMDA,1,78.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"UMDA(pop=50,elite=0.2)",UMDA,2,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"UMDA(pop=100,elite=0.2)",UMDA,0,79.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"UMDA(pop=100,elite=0.2)",UMDA,1,80.0,57.0,1
bin_onemax_000,onemax,bin,800,hard,"UMDA(pop=100,elite=0.2)",UMDA,2,78.0,57.0,1
bin_leadingones_001,leadingones,bin,300,easy,RS_BIN,RS_BIN,0,9.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,RS_BIN,RS_BIN,1,7.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,RS_BIN,RS_BIN,2,6.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,HC(flips=1),HC,0,7.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,HC(flips=1),HC,1,4.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,HC(flips=1),HC,2,10.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,HC(flips=2),HC,0,5.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,HC(flips=2),HC,1,11.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,HC(flips=2),HC,2,9.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=1.0,alpha=0.995,flips=1)",SA,0,8.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=1.0,alpha=0.995,flips=1)",SA,1,4.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=1.0,alpha=0.995,flips=1)",SA,2,15.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,3.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=2.0,alpha=0.99,flips=1)",SA,1,15.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=2.0,alpha=0.99,flips=1)",SA,2,17.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=2.0,alpha=0.995,flips=2)",SA,0,7.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=2.0,alpha=0.995,flips=2)",SA,1,6.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,"SA(T0=2.0,alpha=0.995,flips=2)",SA,2,14.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,TABU(tenure=7),TABU,0,14.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,TABU(tenure=7),TABU,1,10.0,9.0,1
bin_leadingones_001,leadingones,bin,300,easy,TABU(tenure=7),TABU,2,4.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,TABU(tenure=12),TABU,0,4.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,TABU(tenure=12),TABU,1,4.0,9.0,0
bin_leadingones_001,leadingones,bin,300,easy,TABU(tenure=12),TABU,2,3.0,9.0,0
