algo,rung,score,seconds,params_json,pop,a0,spiral_b
WOA,rung1,0.3132356856415346,3.5067923069000244,"{""a0"": 1.9175170833649655, ""pop"": 34, ""spiral_b"": 1.9762203786410817}",34,1.9175170833649655,1.9762203786410817
WOA,rung1,0.35916501332385514,3.6408398151397705,"{""a0"": 1.6730082470604295, ""pop"": 30, ""spiral_b"": 0.5324124010894387}",30,1.6730082470604295,0.5324124010894387
WOA,rung1,0.2716890283447796,3.5585899353027344,"{""a0"": 2.10728721802024, ""pop"": 35, ""spiral_b"": 1.7749431470966814}",35,2.10728721802024,1.7749431470966814
WOA,rung1,0.40616624440125604,3.6053407192230225,"{""a0"": 1.5745594561187326, ""pop"": 37, ""spiral_b"": 0.8774748298432592}",37,1.5745594561187326,0.8774748298432592
WOA,rung1,0.22118062339579492,3.491884469985962,"{""a0"": 2.637466102387557, ""pop"": 49, ""spiral_b"": 1.883909827345334}",49,2.637466102387557,1.883909827345334
WOA,rung1,0.2987480378359769,3.434002637863159,"{""a0"": 1.5395343159113986, ""pop"": 58, ""spiral_b"": 1.9554116967535777}",58,1.5395343159113986,1.9554116967535777
WOA,rung1,0.18501780921462085,3.0928494930267334,"{""a0"": 2.2253250944668186, ""pop"": 79, ""spiral_b"": 1.2793255352347983}",79,2.2253250944668186,1.2793255352347983
WOA,rung1,0.27954560332074696,3.5448992252349854,"{""a0"": 2.460654698273404, ""pop"": 41, ""spiral_b"": 1.8033304841660172}",41,2.460654698273404,1.8033304841660172
WOA,rung1,0.1896972775086242,3.0884454250335693,"{""a0"": 1.8321701286349736, ""pop"": 80, ""spiral_b"": 0.543884487991721}",80,1.8321701286349736,0.543884487991721
WOA,rung1,0.32224966706978175,3.601794719696045,"{""a0"": 2.09189993025037, ""pop"": 32, ""spiral_b"": 0.9095035472951105}",32,2.09189993025037,0.9095035472951105
WOA,rung1,0.23217633047318736,3.557706117630005,"{""a0"": 2.990195238496057, ""pop"": 36, ""spiral_b"": 0.9338166343632208}",36,2.990195238496057,0.9338166343632208
WOA,rung1,0.22179608559264047,3.2769973278045654,"{""a0"": 2.7629074118873547, ""pop"": 64, ""spiral_b"": 0.5943837977421429}",64,2.7629074118873547,0.5943837977421429
WOA,rung1,0.24417756907703042,3.494009494781494,"{""a0"": 2.8970145822251627, ""pop"": 42, ""spiral_b"": 1.4394726492055248}",42,2.8970145822251627,1.4394726492055248
WOA,rung1,0.34224912725893447,3.7206244468688965,"{""a0"": 2.187969118618855, ""pop"": 27, ""spiral_b"": 1.6119851576595239}",27,2.187969118618855,1.6119851576595239
WOA,rung1,0.3218056566656222,3.333578109741211,"{""a0"": 1.7064486816080142, ""pop"": 56, ""spiral_b"": 1.33559932806261}",56,1.7064486816080142,1.33559932806261
WOA,rung1,0.2814264585724345,3.3881466388702393,"{""a0"": 1.723437103914515, ""pop"": 60, ""spiral_b"": 1.8357518300280184}",60,1.723437103914515,1.8357518300280184
WOA,rung1,0.3267847894552644,3.6320908069610596,"{""a0"": 2.447266267245597, ""pop"": 26, ""spiral_b"": 0.7734137412464109}",26,2.447266267245597,0.7734137412464109
WOA,rung1,0.24749213207500198,3.4221689701080322,"{""a0"": 2.418106285601851, ""pop"": 46, ""spiral_b"": 1.1564510556213845}",46,2.418106285601851,1.1564510556213845
WOA,rung1,0.16720260290800715,3.2528393268585205,"{""a0"": 2.892431202738744, ""pop"": 64, ""spiral_b"": 0.9030162625272269}",64,2.892431202738744,0.9030162625272269
WOA,rung1,0.2938967025593988,3.5322513580322266,"{""a0"": 2.341678561041916, ""pop"": 36, ""spiral_b"": 1.7338513241509317}",36,2.341678561041916,1.7338513241509317
WOA,rung1,0.32671889322551645,3.544384479522705,"{""a0"": 2.2873884691926327, ""pop"": 34, ""spiral_b"": 1.0751795900617034}",34,2.2873884691926327,1.0751795900617034
WOA,rung1,0.30980200816654935,3.5002799034118652,"{""a0"": 1.504719526902597, ""pop"": 41, ""spiral_b"": 0.8725080533467388}",41,1.504719526902597,0.8725080533467388
WOA,rung1,0.24983496949988265,3.496166229248047,"{""a0"": 2.162483497268102, ""pop"": 38, ""spiral_b"": 1.8948061275861563}",38,2.162483497268102,1.8948061275861563
WOA,rung1,0.13702188124877335,3.076848030090332,"{""a0"": 2.7604637498058215, ""pop"": 79, ""spiral_b"": 0.5518119330207645}",79,2.7604637498058215,0.5518119330207645
WOA,rung1,0.2879516505553578,3.4997665882110596,"{""a0"": 2.5421414749304088, ""pop"": 42, ""spiral_b"": 1.0111316318863706}",42,2.5421414749304088,1.0111316318863706
WOA,rung1,0.2602023033009639,3.5696945190429688,"{""a0"": 1.7887782312811709, ""pop"": 35, ""spiral_b"": 1.9328136338366044}",35,1.7887782312811709,1.9328136338366044
WOA,rung1,0.15914183391526815,3.080289125442505,"{""a0"": 2.716400502277085, ""pop"": 79, ""spiral_b"": 1.540204604279134}",79,2.716400502277085,1.540204604279134
WOA,rung1,0.23488856767823696,3.415043830871582,"{""a0"": 2.063129675009842, ""pop"": 48, ""spiral_b"": 1.9852322941380744}",48,2.063129675009842,1.9852322941380744
WOA,rung1,0.4668632904287722,3.6731905937194824,"{""a0"": 1.6309581608012333, ""pop"": 22, ""spiral_b"": 0.8112868498585916}",22,1.6309581608012333,0.8112868498585916
WOA,rung1,0.18722710111502427,3.4059464931488037,"{""a0"": 2.2871814311690004, ""pop"": 46, ""spiral_b"": 1.4017647416105716}",46,2.2871814311690004,1.4017647416105716
WOA,rung1,0.12378490469479425,3.2227509021759033,"{""a0"": 2.7051991824743857, ""pop"": 67, ""spiral_b"": 1.878097252526332}",67,2.7051991824743857,1.878097252526332
WOA,rung1,0.368486424103296,3.6299970149993896,"{""a0"": 1.709864448783582, ""pop"": 24, ""spiral_b"": 1.34035709698218}",24,1.709864448783582,1.34035709698218
WOA,rung1,0.16409126989319833,3.2736759185791016,"{""a0"": 2.5233624661468785, ""pop"": 61, ""spiral_b"": 0.6449122521170867}",61,2.5233624661468785,0.6449122521170867
WOA,rung1,0.2771718249885369,3.403407335281372,"{""a0"": 1.5739642773124876, ""pop"": 55, ""spiral_b"": 1.3001543680425751}",55,1.5739642773124876,1.3001543680425751
WOA,rung1,0.19642503070516248,3.2866969108581543,"{""a0"": 2.5432150284446355, ""pop"": 69, ""spiral_b"": 1.890953363525151}",69,2.5432150284446355,1.890953363525151
WOA,rung1,0.35376378079105175,3.525620222091675,"{""a0"": 1.6792448693147617, ""pop"": 35, ""spiral_b"": 1.5277399308690964}",35,1.6792448693147617,1.5277399308690964
WOA,rung1,0.27574109804795044,3.5247812271118164,"{""a0"": 1.5741852721529461, ""pop"": 38, ""spiral_b"": 1.3624821716080464}",38,1.5741852721529461,1.3624821716080464
WOA,rung1,0.2228723191277589,3.3312573432922363,"{""a0"": 1.864199314272875, ""pop"": 70, ""spiral_b"": 1.823129397343373}",70,1.864199314272875,1.823129397343373
WOA,rung1,0.1494807791702526,3.3039710521698,"{""a0"": 1.5141106195879588, ""pop"": 62, ""spiral_b"": 1.805042092562114}",62,1.5141106195879588,1.805042092562114
WOA,rung1,0.2999439946065402,3.463947296142578,"{""a0"": 1.5350439982315036, ""pop"": 38, ""spiral_b"": 1.2707021563136984}",38,1.5350439982315036,1.2707021563136984
WOA,rung1,0.3313191100135476,3.695751428604126,"{""a0"": 2.9283054309557883, ""pop"": 30, ""spiral_b"": 1.5518058753192858}",30,2.9283054309557883,1.5518058753192858
WOA,rung1,0.24484609469227808,3.4044501781463623,"{""a0"": 2.132005776845671, ""pop"": 60, ""spiral_b"": 0.7454580547864581}",60,2.132005776845671,0.7454580547864581
WOA,rung1,0.18837491607805495,3.307194948196411,"{""a0"": 1.6660907165710328, ""pop"": 53, ""spiral_b"": 0.6162335405059196}",53,1.6660907165710328,0.6162335405059196
WOA,rung1,0.2570231358458141,3.5356602668762207,"{""a0"": 2.621277804911669, ""pop"": 34, ""spiral_b"": 0.8268478260537623}",34,2.621277804911669,0.8268478260537623
WOA,rung1,0.14865153026075228,3.2218000888824463,"{""a0"": 2.66984143967663, ""pop"": 67, ""spiral_b"": 1.9896867409855001}",67,2.66984143967663,1.9896867409855001
WOA,rung1,0.22886329864390514,3.265083074569702,"{""a0"": 1.5096802311514912, ""pop"": 61, ""spiral_b"": 1.5161357640873996}",61,1.5096802311514912,1.5161357640873996
WOA,rung1,0.23198112415283123,3.4166831970214844,"{""a0"": 2.4063329872485992, ""pop"": 48, ""spiral_b"": 1.6494428128342946}",48,2.4063329872485992,1.6494428128342946
WOA,rung1,0.2872841424068703,3.6551437377929688,"{""a0"": 2.693481018615257, ""pop"": 30, ""spiral_b"": 1.3103272840497238}",30,2.693481018615257,1.3103272840497238
WOA,rung1,0.22936835116001408,3.2439730167388916,"{""a0"": 2.9450042821198585, ""pop"": 68, ""spiral_b"": 1.0758317379000015}",68,2.9450042821198585,1.0758317379000015
WOA,rung1,0.10212399440608466,3.191091775894165,"{""a0"": 2.6232753105003725, ""pop"": 63, ""spiral_b"": 1.4161373072268204}",63,2.6232753105003725,1.4161373072268204
WOA,rung1,0.3111357123190826,3.64156436920166,"{""a0"": 2.4334723643446727, ""pop"": 37, ""spiral_b"": 1.304790978513503}",37,2.4334723643446727,1.304790978513503
WOA,rung1,0.3140470937866999,3.4973642826080322,"{""a0"": 2.6870115351167865, ""pop"": 38, ""spiral_b"": 1.7837932565745098}",38,2.6870115351167865,1.7837932565745098
